"Site","Patch","Adaptive_Mgmt","Years_Since_Burn","Herbicide_Trt"
"KLN","KLN-C","PBG",1,"x"
"KLN","KLN-E","PBG",2,"x"
"KLN","KLN-W","PBG",0,"x"
"PYN","PYN-N","PBG",2,"x"
"PYN","PYN-S","PBG",0,"x"
"PYN","PYN-W","PBG",1,"x"
"RIS","RIS-C","PBG",0,"x"
"RIS","RIS-N","PBG",1,"x"
"RIS","RIS-S","PBG",2,"x"
"GIL","GIL-C","GB",0,"SnS"
"GIL","GIL-N","GB",0,"Spr"
"GIL","GIL-S","GB",0,"Con"
"LTR","LTR-C","GB",0,"Spr"
"LTR","LTR-E","GB",0,"SnS"
"LTR","LTR-W","GB",0,"Con"
"STE","STE-N","GB",1,"Spr"
"STE","STE-S","GB",1,"SnS"
"STE","STE-W","GB",1,"Con"
